microrregiao,codigo_ibge,Mesoregiao,municipio,populacao
Bacia de São João,3301306,Baixadas Litorâneas,Casimiro de Abreu,46110.0
Bacia de São João,3304524,Baixadas Litorâneas,Rio das Ostras,156491.0
Bacia de São João,3305604,Baixadas Litorâneas,Silva Jardim,21352.0
Lagos,3300209,Baixadas Litorâneas,Araruama,129671.0
Lagos,3300233,Baixadas Litorâneas,Armação dos Búzios,40006.0
Lagos,3300258,Baixadas Litorâneas,Arraial do Cabo,30986.0
Lagos,3300704,Baixadas Litorâneas,Cabo Frio,222161.0
Lagos,3301876,Baixadas Litorâneas,Iguaba Grande,27920.0
Lagos,3305208,Baixadas Litorâneas,São Pedro da Aldeia,104029.0
Lagos,3305505,Baixadas Litorâneas,Saquarema,89559.0
Três Rios,3300225,Centro Fluminense,Areal,11828.0
Três Rios,3300951,Centro Fluminense,Comendador Levy Gasparian,8741.0
Três Rios,3303708,Centro Fluminense,Paraíba do Sul,42063.0
Três Rios,3305406,Centro Fluminense,Sapucaia,17729.0
Três Rios,3306008,Centro Fluminense,Três Rios,78346.0
Cantagalo-Cordeiro,3301108,Centro Fluminense,Cantagalo,19390.0
Cantagalo-Cordeiro,3301207,Centro Fluminense,Carmo,17198.0
Cantagalo-Cordeiro,3301504,Centro Fluminense,Cordeiro,20783.0
Cantagalo-Cordeiro,3302452,Centro Fluminense,Macuco,5415.0
Nova Friburgo,3300506,Centro Fluminense,Bom Jardim,28102.0
Nova Friburgo,3301603,Centro Fluminense,Duas Barras,10980.0
Nova Friburgo,3303401,Centro Fluminense,Nova Friburgo,189939.0
Nova Friburgo,3305703,Centro Fluminense,Sumidouro,15206.0
Santa Maria Madalena,3304607,Centro Fluminense,Santa Maria Madalena,10232.0
Santa Maria Madalena,3305307,Centro Fluminense,São Sebastião do Alto,7750.0
Santa Maria Madalena,3305901,Centro Fluminense,Trajano de Moraes,10302.0
Vassouras,3301801,Metropolitana do Rio de Janeiro,Engenheiro Paulo de Frontin,12242.0
Vassouras,3302809,Metropolitana do Rio de Janeiro,Mendes,17502.0
Vassouras,3302908,Metropolitana do Rio de Janeiro,Miguel Pereira,26582.0
Vassouras,3303609,Metropolitana do Rio de Janeiro,Paracambi,41375.0
Vassouras,3303856,Metropolitana do Rio de Janeiro,Paty do Alferes,29619.0
Vassouras,3306206,Metropolitana do Rio de Janeiro,Vassouras,33976.0
Serrana,3303906,Metropolitana do Rio de Janeiro,Petrópolis,278881.0
Serrana,3305802,Metropolitana do Rio de Janeiro,Teresópolis,165123.0
Serrana,3305158,Metropolitana do Rio de Janeiro,São José do Vale do Rio Preto,22080.0
Macacu-Caceribu,3300803,Metropolitana do Rio de Janeiro,Cachoeiras de Macacu,56943.0
Macacu-Caceribu,3304300,Metropolitana do Rio de Janeiro,Rio Bonito,56276.0
Itaguaí,3302007,Metropolitana do Rio de Janeiro,Itaguaí,116841.0
Itaguaí,3302601,Metropolitana do Rio de Janeiro,Mangaratiba,41220.0
Itaguaí,3305554,Metropolitana do Rio de Janeiro,Seropédica,80596.0
Rio de Janeiro,3300456,Metropolitana do Rio de Janeiro,Belford Roxo,483087.0
Rio de Janeiro,3301702,Metropolitana do Rio de Janeiro,Duque de Caxias,808161.0
Rio de Janeiro,3301850,Metropolitana do Rio de Janeiro,Guapimirim,51696.0
Rio de Janeiro,3301900,Metropolitana do Rio de Janeiro,Itaboraí,224267.0
Rio de Janeiro,3302270,Metropolitana do Rio de Janeiro,Japeri,96289.0
Rio de Janeiro,3302502,Metropolitana do Rio de Janeiro,Magé,228127.0
Rio de Janeiro,3302700,Metropolitana do Rio de Janeiro,Maricá,197277.0
Rio de Janeiro,3302858,Metropolitana do Rio de Janeiro,Mesquita,167127.0
Rio de Janeiro,3303203,Metropolitana do Rio de Janeiro,Nilópolis,146774.0
Rio de Janeiro,3303302,Metropolitana do Rio de Janeiro,Niterói,481749.0
Rio de Janeiro,3303500,Metropolitana do Rio de Janeiro,Nova Iguaçu,785867.0
Rio de Janeiro,3304144,Metropolitana do Rio de Janeiro,Queimados,140523.0
Rio de Janeiro,3304557,Metropolitana do Rio de Janeiro,Rio de Janeiro,6211223.0
Rio de Janeiro,3304904,Metropolitana do Rio de Janeiro,São Gonçalo,896744.0
