microrregiao,codigo,municipio
Três Rios,005,Areal
Três Rios,005,Comendador Levy Gasparian
Três Rios,005,Paraíba do Sul
Três Rios,005,Sapucaia
Três Rios,005,Três Rios
Cantagalo-Cordeiro,006,Cantagalo
Cantagalo-Cordeiro,006,Carmo
Cantagalo-Cordeiro,006,Cordeiro
Cantagalo-Cordeiro,006,Macuco
Nova Friburgo,007,Bom Jardim
Nova Friburgo,007,Duas Barras
Nova Friburgo,007,Nova Friburgo
Nova Friburgo,007,Sumidouro
Santa Maria Madalena,008,Santa Maria Madalena
Santa Maria Madalena,008,São Sebastião do Alto
Santa Maria Madalena,008,Trajano de Moraes
