microrregiao,codigo,municipio
Vale do Paraíba Fluminense,011,Barra Mansa
Vale do Paraíba Fluminense,011,Itatiaia
Vale do Paraíba Fluminense,011,Pinheiral
Vale do Paraíba Fluminense,011,Piraí
Vale do Paraíba Fluminense,011,Porto Real
Vale do Paraíba Fluminense,011,Quatis
Vale do Paraíba Fluminense,011,Resende
Vale do Paraíba Fluminense,011,Rio Claro
Vale do Paraíba Fluminense,011,Volta Redonda
Barra do Piraí,012,Barra do Piraí
Barra do Piraí,012,Rio das Flores
Barra do Piraí,012,Valença
Baía da Ilha Grande,013,Angra dos Reis
Baía da Ilha Grande,013,Paraty
