microrregiao,municipio,codigo_ibge,Mesoregiao
Bacia de São João,Casimiro de Abreu,3301306,Baixadas Litorâneas
Bacia de São João,Rio das Ostras,3304524,Baixadas Litorâneas
Bacia de São João,Silva Jardim,3305604,Baixadas Litorâneas
Lagos,Araruama,3300209,Baixadas Litorâneas
Lagos,Armação dos Búzios,3300233,Baixadas Litorâneas
Lagos,Arraial do Cabo,3300258,Baixadas Litorâneas
Lagos,Cabo Frio,3300704,Baixadas Litorâneas
Lagos,Iguaba Grande,3301876,Baixadas Litorâneas
Lagos,São Pedro da Aldeia,3305208,Baixadas Litorâneas
Lagos,Saquarema,3305505,Baixadas Litorâneas
Três Rios,Areal,3300225,Centro Fluminense
Três Rios,Comendador Levy Gasparian,3300951,Centro Fluminense
Três Rios,Paraíba do Sul,3303708,Centro Fluminense
Três Rios,Sapucaia,3305406,Centro Fluminense
Três Rios,Três Rios,3306008,Centro Fluminense
Cantagalo-Cordeiro,Cantagalo,3301108,Centro Fluminense
Cantagalo-Cordeiro,Carmo,3301207,Centro Fluminense
Cantagalo-Cordeiro,Cordeiro,3301504,Centro Fluminense
Cantagalo-Cordeiro,Macuco,3302452,Centro Fluminense
Nova Friburgo,Bom Jardim,3300506,Centro Fluminense
Nova Friburgo,Duas Barras,3301603,Centro Fluminense
Nova Friburgo,Nova Friburgo,3303401,Centro Fluminense
Nova Friburgo,Sumidouro,3305703,Centro Fluminense
Santa Maria Madalena,Santa Maria Madalena,3304607,Centro Fluminense
Santa Maria Madalena,São Sebastião do Alto,3305307,Centro Fluminense
Santa Maria Madalena,Trajano de Moraes,3305901,Centro Fluminense
Vassouras,Engenheiro Paulo de Frontin,3301801,Metropolitana do Rio de Janeiro
Vassouras,Mendes,3302809,Metropolitana do Rio de Janeiro
Vassouras,Miguel Pereira,3302908,Metropolitana do Rio de Janeiro
Vassouras,Paracambi,3303609,Metropolitana do Rio de Janeiro
Vassouras,Paty do Alferes,3303856,Metropolitana do Rio de Janeiro
Vassouras,Vassouras,3306206,Metropolitana do Rio de Janeiro
Serrana,Petrópolis,3303906,Metropolitana do Rio de Janeiro
Serrana,Teresópolis,3305802,Metropolitana do Rio de Janeiro
Serrana,São José do Vale do Rio Preto,3305158,Metropolitana do Rio de Janeiro
Macacu-Caceribu,Cachoeiras de Macacu,3300803,Metropolitana do Rio de Janeiro
Macacu-Caceribu,Rio Bonito,3304300,Metropolitana do Rio de Janeiro
Itaguaí,Itaguaí,3302007,Metropolitana do Rio de Janeiro
Itaguaí,Mangaratiba,3302601,Metropolitana do Rio de Janeiro
Itaguaí,Seropédica,3305554,Metropolitana do Rio de Janeiro
Rio de Janeiro,Belford Roxo,3300456,Metropolitana do Rio de Janeiro
Rio de Janeiro,Duque de Caxias,3301702,Metropolitana do Rio de Janeiro
Rio de Janeiro,Guapimirim,3301850,Metropolitana do Rio de Janeiro
Rio de Janeiro,Itaboraí,3301900,Metropolitana do Rio de Janeiro
Rio de Janeiro,Japeri,3302270,Metropolitana do Rio de Janeiro
Rio de Janeiro,Magé,3302502,Metropolitana do Rio de Janeiro
Rio de Janeiro,Maricá,3302700,Metropolitana do Rio de Janeiro
Rio de Janeiro,Mesquita,3302858,Metropolitana do Rio de Janeiro
Rio de Janeiro,Nilópolis,3303203,Metropolitana do Rio de Janeiro
Rio de Janeiro,Niterói,3303302,Metropolitana do Rio de Janeiro
Rio de Janeiro,Nova Iguaçu,3303500,Metropolitana do Rio de Janeiro
Rio de Janeiro,Queimados,3304144,Metropolitana do Rio de Janeiro
Rio de Janeiro,Rio de Janeiro,3304557,Metropolitana do Rio de Janeiro
Rio de Janeiro,São Gonçalo,3304904,Metropolitana do Rio de Janeiro
Rio de Janeiro,São João de Meriti,3305109,Metropolitana do Rio de Janeiro
Rio de Janeiro,Tanguá,3305752,Metropolitana do Rio de Janeiro
Vale do Paraíba Fluminense,Barra Mansa,3300407,Sul Fluminense
Vale do Paraíba Fluminense,Itatiaia,3302254,Sul Fluminense
Vale do Paraíba Fluminense,Pinheiral,3303955,Sul Fluminense
Vale do Paraíba Fluminense,Piraí,3304003,Sul Fluminense
Vale do Paraíba Fluminense,Porto Real,3304110,Sul Fluminense
Vale do Paraíba Fluminense,Quatis,3304128,Sul Fluminense
Vale do Paraíba Fluminense,Resende,3304201,Sul Fluminense
Vale do Paraíba Fluminense,Rio Claro,3304409,Sul Fluminense
Vale do Paraíba Fluminense,Volta Redonda,3306305,Sul Fluminense
Barra do Piraí,Barra do Piraí,3300308,Sul Fluminense
Barra do Piraí,Rio das Flores,3304508,Sul Fluminense
Barra do Piraí,Valença,3306107,Sul Fluminense
